선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
미란다,두산,14,5,0,0,0,28,28,173.2,11.66,3.26,0.57,0.305,81.7,2.33,2.67,2.14,8.49,8.46
루친스키,NC,15,10,0,0,0,30,30,178.2,8.92,2.77,0.6,0.298,71.6,3.17,3.32,3.05,6.37,6.61
뷰캐넌,삼성,16,5,0,0,0,30,30,177.0,8.24,3.0,0.66,0.308,75.5,3.1,3.46,3.24,5.74,6.27
고영표,KT,11,6,0,1,0,26,25,166.2,7.02,1.46,0.49,0.286,73.5,2.92,3.2,3.04,5.51,6.63
폰트,SSG,8,5,0,0,0,25,25,145.2,9.7,2.78,0.74,0.271,66.8,3.46,3.28,2.93,5.43,4.03
데스파이네,KT,13,10,0,0,0,33,33,188.2,7.87,3.72,0.48,0.301,72.8,3.39,3.62,3.51,5.24,6.11
요키시,Hero,16,9,0,0,0,31,31,181.1,6.5,2.28,0.6,0.295,73.5,2.93,3.54,3.45,5.12,6.59
수아레즈,LG,10,2,0,0,0,23,22,115.1,9.83,3.2,0.31,0.294,79.0,2.18,2.77,2.42,4.82,5.38
킹험,한화,10,8,0,0,0,25,25,144.0,8.25,2.56,0.69,0.267,71.1,3.19,3.43,3.2,4.79,4.96
스트레일리,롯데,10,12,0,0,0,31,31,165.2,8.96,3.64,0.65,0.328,68.9,4.07,3.62,3.41,4.78,4.26
원태인,삼성,14,7,0,0,0,26,26,158.2,7.32,2.89,0.62,0.3,76.8,3.06,3.65,3.53,4.63,6.0
쿠에바스,KT,9,5,0,0,0,23,23,133.1,9.25,3.44,0.74,0.323,69.0,4.12,3.57,3.3,4.49,3.4
카펜터,한화,5,12,0,0,0,31,30,170.0,9.48,3.86,0.85,0.296,69.1,3.97,4.06,3.86,4.44,4.29
켈리,LG,13,8,0,0,0,30,30,177.0,7.22,3.05,0.61,0.287,78.0,3.15,3.76,3.68,4.43,6.83
로켓,두산,9,9,0,0,0,21,21,124.0,8.13,3.05,0.36,0.349,79.3,2.98,3.33,3.18,4.16,4.99
파슨스,NC,4,8,0,0,0,24,24,133.0,10.02,4.26,0.61,0.289,74.5,3.72,3.66,3.41,4.14,4.29
임기영,KIA,8,8,0,0,0,28,28,153.0,7.59,2.65,0.88,0.307,66.3,4.88,4.02,3.9,3.79,3.06
배제성,KT,9,10,0,0,0,26,26,141.2,8.64,5.21,0.38,0.306,70.8,3.68,3.7,3.58,3.67,3.81
최원준,두산,12,4,0,0,0,29,29,158.1,6.42,2.1,0.85,0.295,76.3,3.3,4.01,3.95,3.52,5.51
백정현,삼성,14,5,0,0,0,27,27,157.2,6.22,3.08,0.86,0.274,81.4,2.63,4.21,4.2,3.17,6.54
멩덴,KIA,8,3,0,0,0,21,21,120.0,7.8,2.62,0.9,0.285,73.2,3.6,3.97,3.83,2.91,3.37
소형준,KT,7,7,0,0,0,24,24,119.1,6.41,3.85,0.45,0.314,65.4,4.15,3.92,3.94,2.88,2.8
신민혁,NC,9,6,0,0,0,30,25,145.0,6.64,2.73,1.06,0.307,71.6,4.41,4.4,4.35,2.74,3.44
박세웅,롯데,10,9,0,0,0,28,28,163.0,6.9,2.93,1.1,0.256,73.3,3.98,4.55,4.52,2.68,4.78
안우진,Hero,8,8,0,0,0,21,21,107.2,9.2,3.43,1.09,0.271,75.6,3.26,4.17,3.94,2.67,3.31
브룩스,KIA,3,5,0,0,0,13,13,78.0,6.35,1.85,0.46,0.349,72.8,3.35,3.24,3.13,2.51,2.32
정찬헌,Hero,9,5,0,0,0,23,23,114.1,4.64,2.13,0.47,0.321,70.4,4.01,3.85,3.95,2.46,3.71
최원태,Hero,9,11,0,0,0,28,28,143.1,5.84,3.33,0.69,0.324,65.1,4.58,4.31,4.39,2.45,2.69
김민우,한화,14,10,0,0,0,29,28,155.1,7.18,4.4,0.87,0.266,74.1,4.0,4.58,4.59,2.41,4.51
오승환,삼성,0,2,44,0,1,64,0,62.0,8.27,2.32,0.44,0.312,81.7,2.03,2.85,2.56,2.37,3.47
