선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
안우진,Hero,15,8,0,0,0,30,30,196.0,10.29,2.53,0.18,0.268,75.4,2.11,2.21,1.89,9.24,9.51
루친스키,NC,10,12,0,0,0,31,31,193.2,9.02,1.58,0.65,0.318,72.2,2.97,2.91,2.68,7.3,6.61
고영표,KT,13,8,0,0,0,28,28,182.1,7.7,1.14,0.35,0.335,73.1,3.26,2.75,2.66,6.23,6.35
요키시,Hero,10,8,0,0,0,30,30,185.1,7.48,1.6,0.39,0.301,74.6,2.57,2.86,2.73,6.18,7.51
수아레즈,삼성,6,8,0,0,0,30,29,173.2,8.24,2.64,0.36,0.296,73.8,2.49,2.97,2.81,5.73,6.26
켈리,LG,16,4,0,0,0,27,27,166.1,8.28,1.89,0.54,0.29,78.4,2.54,2.95,2.75,5.66,7.32
박세웅,롯데,10,11,0,0,0,28,28,157.1,8.35,1.89,0.46,0.358,66.9,3.89,2.89,2.73,5.59,3.62
폰트,SSG,13,6,0,0,0,28,28,184.0,8.32,1.66,0.88,0.247,75.7,2.69,3.4,3.22,5.33,7.29
반즈,롯데,12,12,0,0,0,31,31,186.1,7.73,2.27,0.39,0.308,67.0,3.62,3.21,3.18,5.31,5.19
김광현,SSG,13,3,0,0,0,28,28,173.1,7.94,2.34,0.52,0.276,80.8,2.13,3.16,3.02,5.21,7.57
플럿코,LG,15,5,0,0,0,28,28,162.0,8.28,2.11,0.72,0.256,76.3,2.39,3.25,3.06,4.88,6.36
소형준,KT,13,6,0,0,0,27,27,171.1,6.15,2.05,0.42,0.285,70.2,3.05,3.34,3.33,4.35,5.48
놀린,KIA,8,8,0,0,0,21,21,124.0,7.84,1.74,0.51,0.3,77.3,2.47,3.08,2.98,3.78,4.52
양현종,KIA,12,7,0,0,0,30,30,175.1,7.24,2.57,0.72,0.297,67.4,3.85,3.66,3.58,3.76,3.42
원태인,삼성,10,8,0,0,0,27,27,165.1,7.08,2.07,0.87,0.314,73.0,3.92,3.73,3.65,3.7,4.55
뷰캐넌,삼성,11,8,0,0,0,26,26,160.0,6.58,2.19,0.56,0.327,77.5,3.04,3.57,3.57,3.45,5.45
구창모,NC,11,5,0,0,0,19,19,111.2,8.7,2.34,0.56,0.286,80.7,2.1,3.11,2.93,3.35,4.94
나균안,롯데,3,8,0,2,3,39,13,117.2,9.41,2.83,0.38,0.36,69.6,3.98,2.8,2.57,3.26,2.15
김윤식,LG,8,5,0,0,0,23,23,114.1,6.38,2.13,0.39,0.331,73.3,3.31,3.18,3.12,3.24,3.73
데스파이네,KT,8,12,0,0,0,30,29,163.0,6.79,2.65,0.77,0.355,68.4,4.53,3.96,3.97,2.93,2.13
엄상백,KT,11,2,0,0,0,33,22,140.1,8.91,2.95,0.9,0.294,79.2,2.95,3.73,3.55,2.82,4.22
곽빈,두산,8,9,0,0,0,27,27,147.2,8.41,3.66,0.79,0.312,74.1,3.78,4.04,3.99,2.63,3.3
스탁,두산,9,10,0,0,0,29,29,165.0,7.53,4.53,0.49,0.319,69.3,3.6,4.07,4.11,2.62,3.62
김민수,KT,5,4,3,30,5,76,0,80.2,10.15,1.67,0.33,0.303,82.1,1.9,2.24,1.95,2.37,3.28
모리만도,SSG,7,1,0,0,0,12,12,75.1,8.0,2.75,0.24,0.268,80.0,1.67,2.98,2.9,2.37,3.74
이인복,롯데,9,9,0,1,0,26,23,126.2,5.04,2.13,0.43,0.339,69.4,4.19,3.64,3.73,2.36,2.58
파노니*,KIA,3,4,0,0,0,14,14,82.2,7.95,2.61,0.54,0.308,73.2,2.72,3.31,3.18,2.34,2.73
이의리,KIA,10,10,0,0,0,29,28,154.0,9.41,4.32,1.05,0.272,71.0,3.86,4.39,4.28,2.27,3.41
